Timestamp,Object,Confidence,Bounding Box
2025-03-06 03:21:50.439105,person,0.53,"(560, 281, 1919, 1071)"
2025-03-06 03:21:51.720952,person,0.93,"(545, 235, 1917, 1073)"
2025-03-06 03:21:51.777207,person,0.93,"(534, 244, 1913, 1073)"
2025-03-06 03:21:51.846067,person,0.94,"(542, 263, 1913, 1074)"
2025-03-06 03:21:51.912488,person,0.94,"(548, 285, 1908, 1076)"
2025-03-06 03:21:51.980022,person,0.94,"(546, 284, 1904, 1074)"
2025-03-06 03:21:52.044493,person,0.94,"(556, 244, 1915, 1074)"
2025-03-06 03:21:52.109916,person,0.93,"(566, 204, 1915, 1072)"
2025-03-06 03:21:52.179619,person,0.92,"(578, 181, 1918, 1070)"
2025-03-06 03:21:52.243634,person,0.92,"(594, 164, 1915, 1072)"
2025-03-06 03:21:52.315971,person,0.92,"(598, 173, 1917, 1071)"
2025-03-06 03:21:52.379598,person,0.93,"(643, 205, 1914, 1073)"
2025-03-06 03:21:52.445750,person,0.91,"(632, 256, 1913, 1073)"
2025-03-06 03:21:52.512619,person,0.90,"(591, 268, 1883, 1073)"
2025-03-06 03:21:52.583261,person,0.91,"(649, 263, 1906, 1073)"
2025-03-06 03:21:52.647829,person,0.93,"(696, 217, 1913, 1073)"
2025-03-06 03:21:52.709720,person,0.95,"(738, 183, 1913, 1071)"
2025-03-06 03:21:52.777950,person,0.95,"(776, 184, 1913, 1070)"
2025-03-06 03:21:52.778203,laptop,0.89,"(1290, 392, 1918, 957)"
2025-03-06 03:21:52.844696,person,0.93,"(782, 207, 1913, 1072)"
2025-03-06 03:21:52.844888,laptop,0.67,"(1315, 361, 1919, 935)"
2025-03-06 03:21:52.909218,person,0.94,"(778, 245, 1918, 1071)"
2025-03-06 03:21:52.909388,laptop,0.54,"(1310, 345, 1919, 944)"
2025-03-06 03:21:52.977418,person,0.95,"(765, 268, 1917, 1071)"
2025-03-06 03:21:53.050229,person,0.95,"(707, 261, 1915, 1071)"
2025-03-06 03:21:53.112636,person,0.95,"(658, 213, 1916, 1071)"
2025-03-06 03:21:53.178224,person,0.96,"(681, 153, 1911, 1071)"
2025-03-06 03:21:53.246889,person,0.96,"(748, 102, 1919, 1070)"
2025-03-06 03:21:53.311951,person,0.95,"(802, 85, 1916, 1068)"
2025-03-06 03:21:53.384936,person,0.95,"(807, 104, 1916, 1070)"
2025-03-06 03:21:53.445063,person,0.95,"(804, 150, 1914, 1070)"
2025-03-06 03:21:53.512552,person,0.95,"(817, 173, 1913, 1070)"
2025-03-06 03:21:53.579778,person,0.94,"(874, 178, 1918, 1069)"
2025-03-06 03:21:53.646381,person,0.95,"(887, 183, 1919, 1069)"
2025-03-06 03:21:53.723905,person,0.95,"(845, 182, 1919, 1069)"
2025-03-06 03:21:53.811184,person,0.95,"(836, 236, 1919, 1070)"
2025-03-06 03:21:53.811408,suitcase,0.71,"(0, 221, 329, 775)"
2025-03-06 03:21:53.873687,person,0.95,"(857, 206, 1919, 1069)"
2025-03-06 03:21:53.945868,person,0.95,"(894, 201, 1919, 1068)"
2025-03-06 03:21:54.016680,person,0.94,"(882, 219, 1918, 1069)"
2025-03-06 03:21:54.076853,person,0.95,"(828, 268, 1918, 1072)"
2025-03-06 03:21:54.147081,person,0.94,"(769, 317, 1916, 1070)"
2025-03-06 03:21:54.221455,person,0.95,"(733, 312, 1918, 1071)"
2025-03-06 03:21:54.277682,person,0.94,"(773, 342, 1917, 1070)"
2025-03-06 03:21:54.347573,person,0.92,"(745, 334, 1919, 1071)"
2025-03-06 03:21:54.409202,person,0.90,"(681, 369, 1917, 1070)"
2025-03-06 03:21:54.471325,person,0.89,"(668, 356, 1917, 1072)"
2025-03-06 03:21:54.538429,person,0.88,"(695, 305, 1911, 1072)"
2025-03-06 03:21:54.605405,person,0.91,"(720, 264, 1916, 1071)"
2025-03-06 03:21:54.672585,person,0.91,"(748, 255, 1918, 1072)"
2025-03-06 03:21:54.739070,person,0.89,"(757, 243, 1913, 1073)"
2025-03-06 03:21:54.807349,person,0.83,"(814, 214, 1916, 1072)"
2025-03-06 03:21:54.873105,person,0.87,"(876, 182, 1919, 1070)"
2025-03-06 03:21:54.942263,person,0.78,"(957, 165, 1919, 1066)"
2025-03-06 03:21:54.993657,person,0.84,"(1013, 166, 1920, 1065)"
2025-03-06 03:21:55.057566,person,0.92,"(1049, 180, 1919, 1069)"
2025-03-06 03:21:55.128845,person,0.90,"(1088, 211, 1919, 1069)"
2025-03-06 03:21:55.195908,person,0.89,"(1120, 242, 1918, 1070)"
2025-03-06 03:21:55.260633,person,0.89,"(1161, 258, 1916, 1068)"
2025-03-06 03:21:55.326130,person,0.86,"(1212, 258, 1919, 1068)"
